"","Eli_repA_tech1.sorted.bam","Eli_repB_tech1.2.sorted.bam","Eli_repC_tech1.sorted.bam","Elizabeth_repA_tech1.sorted.bam","Elizabeth_repB_tech1.2.sorted.bam","Elizabeth_repC_tech1.sorted.bam","Eric_repA_tech1.sorted.bam","Eric_repB_tech1.2.sorted.bam","Eric_repC_tech1.sorted.bam","Ethan_repA_tech1.sorted.bam","Ethan_repB_tech1.2.sorted.bam","Ethan_repC_tech1.sorted.bam"
"NM_001098834",0,0,0,1,0,0,1,0,1,1,0,0
"NM_001098844",5,2,1,10,0,2,0,0,0,4,2,1
"NM_001099",20,16,17,1,1,1,2,1,1,10,2,1
"NM_001099218",1,1,12,0,4,4,4,2,0,0,0,0
"NM_001099220",370,256,787,294,254,147,326,156,188,404,202,300
"NM_001099221",0,2,5,0,0,0,0,0,0,0,1,0
"NM_001099223",141,120,528,224,123,43,237,93,129,166,182,281
"NM_001099224",82,86,308,133,100,27,166,74,83,106,107,168
"NM_001099225",321,281,648,256,317,86,346,203,104,431,327,307
"NM_001099270",498,368,1028,568,420,148,463,224,203,537,370,368
"NM_001099271",359,342,755,327,337,81,483,237,201,341,413,324
"NM_001099272",354,315,662,260,353,147,271,147,96,412,304,227
"NM_001099281",183,186,400,116,212,74,94,122,73,162,170,189
"NM_001099283",21,12,18,24,18,4,35,14,8,16,11,6
"NM_001099286",182,141,262,136,163,35,269,101,83,230,155,179
"NM_001099287",49,35,102,100,76,50,99,14,23,91,64,70
"NM_001099289",60,80,91,7,3,2,90,56,22,153,84,31
"NM_001099293",7,14,17,9,23,8,4,13,5,17,7,10
"NM_001099294",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001099334",0,0,1,0,0,0,0,0,0,0,0,0
"NM_001099336",16,10,2,0,3,0,0,1,3,10,14,17
"NM_001099338",54,67,84,47,52,33,41,34,17,79,71,46
"NM_001099339",206,254,361,190,189,95,178,103,68,250,252,188
"NM_001099402",1176,470,2381,909,389,443,1080,161,533,1718,307,986
"NM_001099406",226,211,663,218,264,64,232,199,113,292,263,282
"NM_001099407",163,94,262,63,66,28,94,36,32,108,71,110
"NM_001099408",2,1,3,1,0,0,0,0,2,0,0,0
"NM_001099415",3353,1133,5924,2414,866,1249,3253,503,1365,4446,887,2840
"NM_001099431",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001099432",311,355,593,229,319,65,202,156,123,295,216,188
"NM_001099433",132,345,195,99,233,64,211,246,69,114,231,172
"NM_001099434",6,0,0,2,2,1,0,8,2,2,0,1
"NM_001099437",21,49,58,35,50,6,28,23,24,43,51,46
"NM_001099439",2,3,16,1,0,0,5,3,1,2,0,5
"NM_001099455",57,64,149,56,74,47,72,30,22,52,64,122
"NM_001099625",445,594,1063,388,574,180,485,262,223,560,469,379
"NM_001099627",376,501,992,324,491,155,421,211,196,465,390,311
"NM_001099638",791,953,3406,1314,1398,327,1584,973,881,1033,1387,1492
"NM_001099640",0,0,2,8,0,0,0,0,0,11,10,10
"NM_001099650",293,212,1111,536,338,70,545,188,260,513,324,408
"NM_001099652",2,14,42,15,13,4,8,13,9,18,8,14
"NM_001099660",1,0,6,3,1,8,5,0,6,6,0,8
"NM_001099666",985,804,3419,1395,1060,174,1528,868,884,1222,933,1186
"NM_001099669",897,653,1689,1053,1278,250,1123,631,327,1540,1360,862
"NM_001099673",539,589,1877,420,585,106,614,429,215,697,854,647
"NM_001099676",1,0,5,0,0,0,1,0,1,0,0,0
"NM_001099678",1246,812,3275,1348,1010,163,1643,752,700,1619,912,1407
"NM_001099679",418,398,783,266,489,161,367,249,155,467,416,350
"NM_001099692",380,252,707,321,220,182,347,108,135,579,227,354
"NM_001099693",9802,15229,27824,9337,16549,3147,10577,13440,4623,14300,19679,8903
"NM_001099696",1452,1955,3186,980,1528,470,1151,1125,659,1472,1466,1157
"NM_001099697",18,7,22,8,18,8,13,1,15,35,13,21
"NM_001099733",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001099736",0,0,1,0,0,0,0,0,0,0,0,0
"NM_001099737",76,207,177,70,184,32,68,161,49,120,193,53
"NM_001099743",42,37,61,76,69,16,34,16,7,39,57,47
"NM_001099744",42,37,61,73,69,15,34,16,7,39,57,47
"NM_001099771",98,72,89,77,101,44,44,22,26,148,51,59
"NM_001099787",303,827,675,165,626,76,243,437,134,347,671,253
"NM_001099790",0,1,1,0,0,0,0,0,1,0,0,0
"NM_001099791",44,75,102,26,41,7,17,35,10,45,45,36
"NM_001099850",0,0,2,0,0,0,0,1,0,0,0,0
"NM_001099852",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001099952",2645,1902,4428,1626,1621,540,2077,916,925,2672,1685,1951
"NM_001100118",198,430,430,144,443,106,119,251,83,237,446,226
"NM_001100166",567,346,1124,400,282,44,537,227,213,237,231,349
"NM_001100168",0,1,0,0,0,0,3,0,0,10,3,0
"NM_001100170",1717,2106,2874,1369,2478,648,1655,1342,590,2058,1989,1318
"NM_001100388",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001100389",363,205,686,201,169,85,383,185,167,380,279,276
"NM_001100396",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001100399",2736,2593,8099,3848,3768,913,3807,2307,2039,3424,3702,3802
"NM_001100400",1183,1168,3078,1477,1633,478,1515,984,880,1402,1482,1461
"NM_001100409",1302,1015,4617,1719,1264,357,2035,876,1107,1776,1395,1935
"NM_001100418",97,380,352,84,264,47,90,217,77,142,279,147
"NM_001100421",477,382,1563,494,488,118,832,534,394,1539,1126,998
"NM_001100425",2,8,9,1,0,0,1,3,3,1,4,5
"NM_001100429",227,233,384,184,307,65,237,196,117,205,238,219
"NM_001100588",1787,1460,4059,2137,1785,351,2218,1182,1169,2268,1674,1671
"NM_001100590",717,609,1973,828,694,213,1020,428,445,921,761,824
"NM_001100814",338,460,807,290,483,145,302,307,200,429,390,359
"NM_001100816",137,134,402,117,151,43,176,123,65,169,253,200
"NM_001100818",0,0,1,0,1,2,0,1,1,0,0,0
"NM_001100829",617,441,1468,928,657,138,774,407,307,791,559,656
"NM_001100873",10,11,35,20,11,9,41,6,15,14,14,17
"NM_001100876",52,104,169,3,1,1,75,73,42,11,4,6
"NM_001100877",31,45,124,0,1,0,49,34,21,4,2,5
"NM_001100878",24,13,98,15,13,19,34,9,32,60,18,51
"NM_001100910",408,243,817,292,249,90,588,233,204,476,269,449
"NM_001100915",33,28,79,36,11,9,30,3,6,36,27,41
"NM_001100916",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001100917",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001101",146798,94984,230670,142455,101062,69294,104517,40552,38506,242157,78245,125892
"NM_001101312",0,2,1,0,0,0,0,1,1,0,0,0
"NM_001101320",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001101338",11,4,94,21,9,4,24,9,23,5,0,5
"NM_001101339",17,31,43,9,14,1,41,50,42,33,42,69
"NM_001101362",1,0,10,0,0,0,2,1,1,1,3,2
"NM_001101372",9,0,6,9,0,3,10,0,5,1,0,7
"NM_001101376",0,0,0,0,0,0,0,0,0,0,1,0
"NM_001101387",0,0,2,0,0,0,0,0,0,0,0,0
"NM_001101391",1,2,2,2,11,2,13,4,1,5,4,2
"NM_001101404",0,0,0,0,0,0,0,0,0,1,0,0
"NM_001101421",1,1,0,0,0,0,0,0,0,0,1,0
"NM_001101648",1,4,9,4,0,0,1,1,0,6,3,4
"NM_001101667",412,564,720,313,627,169,439,395,254,454,594,363
"NM_001101672",31,75,71,18,46,22,42,34,30,67,81,62
"NM_001101677",0,0,0,0,0,0,2,4,1,1,2,0
"NM_001102",105,119,166,11,14,5,4,4,7,107,43,35
"NM_001102386",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001102396",690,541,1581,732,782,134,882,551,385,978,784,709
"NM_001102402",127,172,190,81,208,46,152,129,66,296,308,125
"NM_001102416",1,1,1,0,0,0,0,0,0,2,2,0
"NM_001102426",54,64,152,54,92,27,229,143,131,88,121,144
"NM_001102445",0,0,2,0,0,0,0,2,0,0,0,0
"NM_001102454",31,74,77,18,48,25,42,37,29,67,81,62
"NM_001102467",23,0,37,12,0,12,13,0,15,15,0,26
"NM_001102469",4,9,13,2,2,0,4,2,1,4,3,4
"NM_001102562",0,0,0,0,0,0,1,0,0,1,0,0
"NM_001102564",67,115,153,73,111,23,95,78,26,113,150,58
"NM_001102566",14,24,22,55,45,29,3,4,1,38,20,8
"NM_001102592",29,48,61,82,93,21,65,61,27,83,71,53
"NM_001102594",643,363,1290,574,415,364,430,201,266,735,340,690
"NM_001102597",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001102603",612,479,1989,827,563,210,1130,413,492,882,601,900
"NM_001102608",0,1,2,0,0,0,0,1,0,0,0,1
"NM_001102612",0,0,0,1,2,1,0,0,0,0,0,4
"NM_001102651",42,61,159,80,112,35,84,56,65,73,55,53
"NM_001102654",0,1,0,2,0,0,0,0,0,0,0,0
"NM_001102657",106,86,310,128,123,36,92,42,52,108,89,139
"NM_001102659",0,0,4,0,0,0,0,0,0,0,0,0
"NM_001102667",1177,1099,2586,1107,1579,461,1237,798,405,1398,1587,1205
"NM_001103149",0,1,0,0,2,1,0,0,0,0,0,0
"NM_001103154",149,92,306,343,222,113,324,82,141,212,145,234
"NM_001103160",3,35,60,13,16,5,12,12,3,22,20,17
"NM_001103167",12,24,17,13,8,9,12,1,0,27,16,17
"NM_001103170",0,0,0,0,0,0,1,0,0,0,0,0
"NM_001104",3,8,3,5,37,18,17,8,8,2,5,35
"NM_001104546",411,536,846,290,635,110,380,388,172,440,593,327
"NM_001104554",1,0,1,0,1,0,1,0,0,2,0,0
"NM_001104558",9,7,39,75,47,7,13,4,10,60,31,29
"NM_001104587",462,353,641,570,553,128,580,284,157,1183,920,1110
"NM_001104595",287,203,505,715,407,223,512,203,247,415,203,252
"NM_001104629",0,0,1,0,0,1,0,2,1,1,0,0
"NM_001105069",0,0,0,0,2,0,1,0,0,0,0,0
"NM_001105077",0,1,0,0,0,0,0,0,0,0,0,0
"NM_001105079",1481,803,3403,963,572,613,1009,363,632,1965,470,1205
"NM_001105193",0,1,0,1,0,0,0,0,0,0,0,0
"NM_001105204",74,77,219,43,73,42,73,47,46,99,87,92
"NM_001105207",1,0,3,0,2,1,8,0,2,0,3,0
"NM_001105281",0,0,0,1,0,0,0,0,0,0,0,0
"NM_001105518",73,72,412,105,83,21,210,103,83,144,155,192
"NM_001105521",16,9,13,12,2,4,11,3,12,14,0,26
"NM_001105522",3,5,15,0,0,0,0,0,0,0,0,0
"NM_001105529",3567,3572,10202,5140,5445,893,4450,3096,2324,4750,4611,4132
"NM_001105533",2,4,0,0,0,0,0,0,0,0,0,0
"NM_001105538",983,1234,1762,689,1062,397,862,749,457,1195,1110,885
"NM_001105543",0,3,0,2,0,0,1,0,0,0,0,1
"NM_001105544",347,306,1014,476,511,71,603,343,205,506,566,507
"NM_001105556",872,1977,1986,947,1871,450,750,725,388,1863,2580,1326
"NM_001105558",1,2,0,0,0,1,3,0,7,0,3,0
"NM_001105565",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001105568",17,28,29,42,37,10,0,2,0,25,20,4
"NM_001105570",611,522,1075,517,436,196,561,317,297,822,487,503
"NM_001105571",0,0,0,0,0,0,0,0,0,0,0,0
"NM_001105573",426,326,863,482,482,104,630,255,172,703,535,492
"NM_001105574",1323,1085,2700,1381,1126,621,977,548,440,1302,766,1043
